LEMMA	FORM	ROOT_NEW	BW	GLOSS	FEAT	COND-T	COND-S
Sahoyuwniy~	SahAyin	NTWS	NOUN	Zionists	pos:noun gen:m num:p rat:r cas:u	FS	
Sahoyuwniy~	Sahoyuwniy~	NTWS	ADJ	Zionist	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
Sahoyuwniy~	Sahoyuwniy~	NTWS	NOUN	Zionist	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
Sahoyuwniy~ap	Sahoyuwniy~	NTWS	NOUN	Zionism	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
sahuwl	sahuwl	s.h.l	NOUN	purgative;laxative	pos:noun gen:- num:- rat:i cas:u	MS||MD	
saHuwr	saHuwr	s.H.r	NOUN	sahour_(Ramadan_meal_before_daybreak)	pos:noun gen:- num:- rat:i cas:u	MS||MD	
Sahuwr	Sahuwr	S.h.r	NOUN	fusible	pos:noun gen:- num:- rat:i cas:u	MS||MD||FS||FD	
sAj	sAj	s.y.j	NOUN	teak;Indian_oak	pos:noun gen:- num:- rat:i cas:u	MS||MD	
SAj	SAj	S.w.j	NOUN	sheet_metal	pos:noun gen:- num:- rat:i cas:u	MS||MD	
saj~Ad	saj~Ad	s.j.d	NOUN	worshiper	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
saj~Adap	saj~Ad	s.j.d	NOUN	carpet	pos:noun gen:- num:- rat:i cas:u	FS||FD	
saj~Ad	saj~Ad	s.j.d	NOUN	prayer_rugs	pos:noun gen:- num:- rat:i cas:u	MS||MD	@collective
saj~Adap	saj~Ad	s.j.d	NOUN	prayer_rug	pos:noun gen:- num:- rat:i cas:u	FS||FD	
Su&Ab	Su&Ab	S.#.b	NOUN	nits;lice_eggs	pos:noun gen:- num:- rat:i cas:u	MS||MD	@collective
saj~Adap	sajAjiyd	s.j.d	NOUN	carpets	pos:noun gen:f num:p rat:i cas:u	MS	#dip
saj~Adap	sajAjiyd	s.j.d	NOUN	prayer_rugs	pos:noun gen:f num:p rat:i cas:u	MS	#dip
saj~An	saj~An	s.j.n	NOUN	prison_guard	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
sAjap	sAj	s.y.j	NOUN	castanet	pos:noun gen:- num:- rat:i cas:u	FS	
sAjap	sAj	s.y.j	NOUN	castanets	pos:noun gen:- num:- rat:i cas:u	FP	
sAjid	sAjid	s.j.d	ADJ	worshipping	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
sAjid	sAjid	s.j.d	NOUN	worshipper	pos:noun gen:- num:- rat:r cas:u	MS||MD||FS||FD||FP	
sAjid	suj~ad	s.j.d	ADJ	worshiping	pos:adj gen:m num:p rat:n cas:u	MS	
sAjid	suj~ad	s.j.d	NOUN	worshippers	pos:noun gen:- num:p rat:r cas:u	MS	
sAjid	sujuwd	s.j.d	ADJ	worshipping	pos:adj gen:m num:p rat:n cas:u	MS	
sAjid	sujuwd	s.j.d	NOUN	worshippers	pos:noun gen:- num:p rat:r cas:u	MS	
sAjiE	sAjiE	s.j.E	NOUN	composer_of_rhymed_prose	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
sAjiy	sAj	s.j.w	ADJ	quiet;tranquil	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	#iy
sajiy~ap	sajAyA	s.j.w	NOUN	characteristics;traits	pos:noun gen:f num:p rat:i cas:u	MS	
sajiy~ap	sajiy~	s.j.w	NOUN	natural_disposition;character_trait	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
sajiyn	sajiyn	s.j.n	NOUN	prisoner	pos:noun gen:- num:- rat:r cas:u	MS||MD||FS||FD||FP	
sajiyn	sajon	s.j.n	NOUN	prisoners	pos:noun gen:- num:p rat:r cas:u	MS	#aY-Ap-y
ra*iyl	ru*alA	r.*.l	ADJ	despicable;depraved	pos:adj gen:m num:p rat:n cas:u	MS	#A' #dip
sajodap	sajad	s.j.d	NOUN	prostrations	pos:noun gen:f num:p rat:i cas:u	FP	
sajodap	sajod	s.j.d	NOUN	prostration	pos:noun gen:- num:- rat:i cas:u	FS||FD	
sajoE	>asojAE	s.j.E	NOUN	rhymed_prose	pos:noun gen:- num:p rat:i cas:u	MS	
sajoE	sajoE	s.j.E	NOUN	rhymed_prose	pos:noun gen:- num:- rat:i cas:u	MS||MD	
sajoEap	sajoE	s.j.E	NOUN	passage_of_rhymed_prose	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
sajof	>asojAf	s.j.f	NOUN	curtains;veils	pos:noun gen:- num:p rat:i cas:u	MS	
sajof	sajof	s.j.f	NOUN	curtain;veil	pos:noun gen:- num:- rat:i cas:u	MS||MD	
sajof	sujuwf	s.j.f	NOUN	curtains;veils	pos:noun gen:- num:p rat:i cas:u	MS	
sajon	sajon	s.j.n	NOUN	detention;imprisonment	pos:noun gen:- num:- rat:i cas:u	MS||MD	
sak~	sak~	s.k.k	NOUN	minting	pos:noun gen:- num:- rat:i cas:u	MS||MD	
Sak~	Sak~	S.k.k	NOUN	deed;document	pos:noun gen:- num:- rat:i cas:u	MS||MD	
Sak~	SikAk	S.k.k	NOUN	deeds;documents	pos:noun gen:- num:p rat:i cas:u	MS	
Sak~	Sukuwk	S.k.k	NOUN	deeds;documents	pos:noun gen:- num:p rat:i cas:u	MS	
sak~Af	sak~Af	s.k.f	NOUN	shoemaker;cobbler	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
sak~An	sak~An	s.k.n	NOUN	cutler	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
sakab	sakab	s.k.b	NOUN	anemone	pos:noun gen:- num:- rat:i cas:u	MS||MD	
sakabap	sakab	s.k.b	NOUN	anemone	pos:noun gen:- num:- rat:i cas:u	FS||FD	
sakAkir	sakAkir	s.k.r	NOUN	confectionery	pos:noun gen:f num:p rat:i cas:u	MS	#dip
sakAkiyniy~	sakAkiyniy~	s.k.n	ADJ	cutler	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
sakan	sakan	s.k.n	NOUN	housing	pos:noun gen:- num:- rat:i cas:u	MS||MD	
sakanap	sakan	s.k.n	NOUN	calm;still	pos:noun gen:- num:- rat:i cas:u	FS	
sakanap	sakan	s.k.n	NOUN	rest;repose	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
sakanap	sawAkin	s.k.n	NOUN	calm;still	pos:noun gen:f num:p rat:i cas:u	MS	#dip
sakaniy~	sakaniy~	s.k.n	ADJ	housing;residential	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
sakanojabiyn	sakanojabiyn	NTWS	NOUN	oxymel	pos:noun gen:- num:- rat:i cas:u	MS||MD	
sakAriyn	sakAriyn	NTWS	NOUN	saccharin	pos:noun gen:- num:- rat:i cas:u	MS||MD	
sAkib	sAkib	s.k.b	ADJ	pouring_out	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
sAkif	sAkif	s.k.f	NOUN	lintel	pos:noun gen:- num:- rat:i cas:u	MS||MD	
sAkin	sAkin	s.k.n	ADJ	residing	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
sAkin	suk~An	s.k.n	NOUN	residents;inhabitants	pos:noun gen:- num:p rat:r cas:u	MS	
sakinap	sakin	s.k.n	NOUN	residence	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
sAkit	sAkit	s.k.t	ADJ	silent;calm	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
sakiyb	sakiyb	s.k.b	ADJ	shed;spilled	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
sakiybap	sakiyb	s.k.b	NOUN	libation	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
sakiynap	sakiyn	s.k.n	NOUN	tranquillity	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
sakobAj	sakobAj	s.k.b.j	NOUN	meat_cooked_in_vinegar	pos:noun gen:- num:- rat:i cas:u	MS||MD	
sakorAn	sakAr	s.k.r	NOUN	intoxicated;drunkards	pos:noun gen:- num:p rat:i cas:u	MS	#aY-Ap-y
sakorAn	sakor	s.k.r	NOUN	intoxicated	pos:noun gen:f num:- rat:i cas:u	MS	#aY-Ap-y
sakorAn	sakorAn	s.k.r	NOUN	intoxicated	pos:noun gen:- num:- rat:i cas:u	MS||MD||FS||FD	
sakorap	sakar	s.k.r	NOUN	intoxications	pos:noun gen:f num:p rat:i cas:u	FP	
sakorap	sakor	s.k.r	NOUN	intoxication	pos:noun gen:- num:- rat:i cas:u	FS||FD	
sakosuwniy~	sakosuwn	NTWS	ADJ	Saxon	pos:adj gen:m num:p rat:n cas:u	MS	
sakosuwniy~	sakosuwn	NTWS	NOUN	Saxons	pos:noun gen:m num:p rat:r cas:u	MS	
sakosuwniy~	sakosuwniy~	NTWS	ADJ	Saxon	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
sakosuwniy~	sakosuwniy~	NTWS	NOUN	Saxon	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
sakot	sakot	s.k.t	NOUN	silence	pos:noun gen:- num:- rat:i cas:u	MS||MD	
sakotap	sakat	s.k.t	NOUN	(cerebral)_strokes	pos:noun gen:- num:- rat:i cas:u	FP	
sakotap	sakot	s.k.t	NOUN	(cerebral)_stroke	pos:noun gen:- num:- rat:i cas:u	FS||FD	
sakotap	sakot	s.k.t	NOUN	silence;calm	pos:noun gen:- num:- rat:i cas:u	FS	
sakuwt	sakuwt	s.k.t	ADJ	taciturn	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
Sal`wap	Sal`w	S.l.#	NOUN	prayer;salat	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
sal~	sal~	s.l.l	NOUN	withdrawal;basket	pos:noun gen:- num:- rat:i cas:u	MS||MD	
sal~Ab	sal~Ab	s.l.b	NOUN	plunderer	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
sal~Al	sal~Al	s.l.l	NOUN	basket_weaver	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
sal~ap	sal~	s.l.l	NOUN	basket	pos:noun gen:- num:- rat:i cas:u	FS||FD	
sal~ap	silAl	s.l.l	NOUN	baskets	pos:noun gen:f num:p rat:i cas:u	MS	
sal~awiy~	sal~awiy~	s.l.l	ADJ	basketball	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
sal~Ax	sal~Ax	s.l.x	NOUN	flayer	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
salabanod	salabanod	NTWS	NOUN	martingale	pos:noun gen:- num:- rat:i cas:u	MS||MD	
SalAbap	SalAb	S.l.b	NOUN	firmness;consistency	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
SalAdap	SalAd	S.l.d	NOUN	solidity;hardness;resistance	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
SalaE	SalaE	S.l.E	NOUN	baldness	pos:noun gen:- num:- rat:i cas:u	MS||MD	
salaf	>asolAf	s.l.f	NOUN	ancestors	pos:noun gen:- num:p rat:r cas:u	MS	
salaf	salaf	s.l.f	NOUN	advanced_payment	pos:noun gen:- num:- rat:i cas:u	MS	
salaf	salaf	s.l.f	NOUN	ancestors	pos:noun gen:- num:- rat:r cas:u	MS	
Salaf	Salaf	S.l.f	NOUN	bragging	pos:noun gen:- num:- rat:i cas:u	MS||MD	
salaf	salaf	s.l.f	NOUN	in_advance;beforehand;previously	pos:noun gen:- num:- rat:i cas:u	MS	
salafiy~	salafiy~	s.l.f	ADJ	Salafi;Salafist	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
salafiy~	salafiy~	s.l.f	NOUN	Salafi;Salafist	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
salafiy~ap	salafiy~	s.l.f	NOUN	free_loan;cash_advance	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
salafiy~ap	salafiy~	s.l.f	NOUN	Salafiya;Salafism	pos:noun gen:- num:- rat:i cas:u	FS	
SalAH	SalAH	S.l.H	NOUN	proper;good_condition	pos:noun gen:- num:- rat:i cas:u	MS||MD	
SalAHiy~ap	SalAHiy~	S.l.H	NOUN	practicability;viability;competence	pos:noun gen:- num:- rat:i cas:u	FS	
SalAHiy~ap	SalAHiy~	S.l.H	NOUN	privileges;powers	pos:noun gen:- num:- rat:i cas:u	FP	
salAm	salAm	s.l.m	NOUN	anthem;song	pos:noun gen:- num:- rat:i cas:u	MS||MD	
salAm	salAm	s.l.m	NOUN	greeting;salute;salutation	pos:noun gen:- num:- rat:i cas:u	MS	
salAm	salAm	s.l.m	NOUN	greetings;salutations	pos:noun gen:m num:- rat:i cas:u	FP	
salAm	salAm	s.l.m	NOUN	peace	pos:noun gen:- num:- rat:i cas:u	MS	
salAmap	salAm	s.l.m	NOUN	security;safety;integrity	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
salAmolik	salAmolik	NTWS	NOUN	selamlik;reception_room	pos:noun gen:- num:- rat:i cas:u	MS||MD	
SalAp	Sal	S.l.w	NOUN	prayer;salat	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	#aA-Ap-w
SAlap	SAl	NTWS	NOUN	hall	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
salAqap	salAq	s.l.q	NOUN	vicious_tongue	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
salAqiy~	salAqiy~	s.l.q	ADJ	saluki;greyhound	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
salAquwn	salAquwn	NTWS	NOUN	red_lead;minium	pos:noun gen:- num:- rat:i cas:u	MS||MD	
salaquwn	salaquwn	NTWS	NOUN	red_lead;minium	pos:noun gen:- num:- rat:i cas:u	MS||MD	
salas	salas	s.l.s	NOUN	incontinence_of_urine	pos:noun gen:- num:- rat:i cas:u	MS||MD	
salAsap	salAs	s.l.s	NOUN	moothness;flexibility;tractability	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
salATap	salAT	s.l.T	NOUN	glibness;impertinence	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
salaTap	salAT	NTWS	NOUN	salad	pos:noun gen:f num:s rat:i cas:u	FS	
salaTap	salaT	NTWS	NOUN	salad	pos:noun gen:f num:s rat:i cas:u	FS	
sAlib	sAlib	s.l.b	ADJ	negative	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
sAlib	sAlib	s.l.b	NOUN	negative	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
SAlib	SAlib	S.l.b	NOUN	crucifying	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
SAlib	SAlib	S.l.b	NOUN	keel	pos:noun gen:- num:- rat:i cas:u	MS	
sAlib	sawAlib	s.l.b	NOUN	negatives	pos:noun gen:m num:p rat:i cas:u	MS	#dip
SAlib	SawAlib	S.l.b	NOUN	keels	pos:noun gen:- num:p rat:i cas:u	MS	#dip
sAlif	salaf	s.l.f	NOUN	preceding;former	pos:noun gen:- num:- rat:i cas:u	MS	
sAlif	sAlif	s.l.f	ADJ	previous;preceding;former	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
Salif	Salif	S.l.f	ADJ	boastful	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
sAlif	sAlif	s.l.f	NOUN	previous;preceding;former	pos:noun gen:- num:- rat:i cas:u	MS||MD||FS||FD||FP	
sAlif	sawAlif	s.l.f	NOUN	preceding;former	pos:noun gen:- num:p rat:i cas:u	MS	#dip
sAlif	sawAlif	s.l.f	NOUN	sideburns	pos:noun gen:- num:p rat:i cas:u	MS	#dip
sAlif	sul~Af	s.l.f	NOUN	preceding;former	pos:noun gen:- num:p rat:i cas:u	MS	
ra$iyd	ru$adA	r.$.d	ADJ	rational;mature	pos:adj gen:m num:p rat:n cas:u	MS	#A' #dip
SAliH	SAliH	S.l.H	ADJ	pious;upright	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
SAliH	SAliH	S.l.H	NOUN	advantage;interest	pos:noun gen:- num:- rat:i cas:u	MS||MD	
SAliH	SawAliH	S.l.H	NOUN	advantages;interests	pos:noun gen:- num:p rat:i cas:u	MS	#dip
SAliH	Sul~AH	S.l.H	ADJ	pious;upright	pos:adj gen:m num:p rat:n cas:u	MS	
raDiyE	ruDaEA	r.D.E	ADJ	breast-feeding_infants;foster_children	pos:adj gen:m num:p rat:n cas:u	MS	#A' #dip
SAliHap	SAliH	S.l.H	NOUN	good_deed	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
sAlik	sAlik	s.l.k	ADJ	passable;unobstructed	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
sAlim	sAlim	s.l.m	ADJ	secure;sound;intact	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
sAlim	sAlim	s.l.m	NOUN	secure;sound;intact	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
salis	salis	s.l.s	ADJ	tractable;flexible	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
salis	salis	s.l.s	NOUN	tractable;flexible	pos:noun gen:- num:- rat:i cas:u	MS||MD||FS||FD	
saliyb	saliyb	s.l.b	ADJ	stolen	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
Saliyb	Saliyb	S.l.b	NOUN	cross;crucifix	pos:noun gen:- num:- rat:i cas:u	MS||MD	
sifor	>asofAr	s.f.r	NOUN	books	pos:noun gen:- num:p rat:i cas:u	MS	
Saliybiy~	Saliybiy~	S.l.b	ADJ	cross-like;cross-shaped	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
Saliybiy~	Saliybiy~	S.l.b	ADJ	crusade	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
Saliybiy~	Saliybiy~	S.l.b	ADJ	Crusader	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
Saliybiy~	Saliybiy~	S.l.b	NOUN	Crusader	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
Saliybiy~ap	Saliybiy~	S.l.b	NOUN	crusade;campaign	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
saliyf	saliyf	s.l.f	NOUN	predecessor;ancestor	pos:noun gen:- num:- rat:r cas:u	MS||MD||FS||FD||FP	
rafiyq	rufaqA	r.f.q	ADJ	companions;partners;comrades	pos:adj gen:m num:p rat:n cas:u	MS	#A' #dip
saliyH	saliyH	s.l.H	NOUN	apostle	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
saliyl	saliyl	s.l.l	NOUN	sword;scion	pos:noun gen:- num:- rat:i cas:u	MS||MD	
Saliyl	Saliyl	S.l.l	NOUN	clanging	pos:noun gen:- num:- rat:i cas:u	MS||MD	
saliylap	salA}il	s.l.l	NOUN	descendants	pos:noun gen:f num:p rat:i cas:u	MS	#dip
saliylap	saliyl	s.l.l	NOUN	descendant	pos:noun gen:- num:- rat:i cas:u	FS||FD	
saliym	saliym	s.l.m	ADJ	flawless;correct;sound	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
saliym	saliym	s.l.m	ADJ	safe	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
rafiyq	rufaqA	r.f.q	NOUN	companions;partners;comrades	pos:noun gen:- num:p rat:r cas:u	MS	#A' #dip
saliyqap	salA}iq	s.l.q	NOUN	instincts	pos:noun gen:f num:p rat:i cas:u	MS	#dip
saliyqap	saliyq	s.l.q	NOUN	instinct	pos:noun gen:f num:- rat:i cas:u	FS||FD	
saliyqap	saliyq	s.l.q	NOUN	natural-born	pos:noun gen:f num:- rat:i cas:u	FS||FD	
saliyT	saliyT	s.l.T	ADJ	strong;sharp	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
saliyx	saliyx	s.l.x	ADJ	skinned;insipid	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
saliyxap	saliyx	s.l.x	NOUN	cinnamon_tree	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
salj	salj	s.l.j	NOUN	chard	pos:noun gen:- num:- rat:i cas:u	MS||MD	
salob	salob	s.l.b	NOUN	robbing;dispossession	pos:noun gen:- num:- rat:i cas:u	MS	
Salob	Salob	S.l.b	NOUN	crucifixion	pos:noun gen:- num:- rat:i cas:u	MS||MD	
salob	salob	s.l.b	NOUN	zero;nil;null	pos:noun gen:- num:- rat:i cas:u	MS	
salobiy~	salobiy~	s.l.b	ADJ	negative;passive	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
salobiy~	salobiy~	s.l.b	NOUN	negative_points	pos:noun gen:- num:- rat:i cas:u	FP	
salobiy~ap	salobiy~	s.l.b	NOUN	negativism	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
Salobuwt	Salobuwt	S.l.b	NOUN	crucifix	pos:noun gen:- num:- rat:i cas:u	MS||MD	
Salod	>aSolAd	S.l.d	NOUN	firm;solid	pos:noun gen:m num:p rat:i cas:u	MS	
Salod	Salod	S.l.d	NOUN	firm;solid	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
saloE	saloE	s.l.E	NOUN	crack;rift	pos:noun gen:- num:- rat:i cas:u	MS||MD	
saloE	suluwE	s.l.E	NOUN	cracks;rifts	pos:noun gen:- num:p rat:i cas:u	MS	
SaloEap	SaloE	S.l.E	NOUN	bald_spot;bald_head	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
saloH	saloH	s.l.H	NOUN	dung	pos:noun gen:- num:- rat:i cas:u	MS||MD	
salojam	salojam	s.l.j.m	NOUN	turnip	pos:noun gen:- num:- rat:i cas:u	MS||MD	
salojuwqiy~	salAjiq	s.l.j.q	ADJ	Seljuk	pos:adj gen:m num:p rat:n cas:u	FS	
salojuwqiy~	salAjiq	s.l.j.q	NOUN	Seljuks	pos:noun gen:m num:p rat:r cas:u	FS	
salojuwqiy~	salojuwqiy~	s.l.j.q	ADJ	Seljuk	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
salojuwqiy~	salojuwqiy~	s.l.j.q	NOUN	Seljuk	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
salomuwn	salomuwn	NTWS	NOUN	salmon	pos:noun gen:- num:- rat:i cas:u	MS||MD	
saloq	saloq	s.l.q	NOUN	laceration;boiling	pos:noun gen:- num:- rat:i cas:u	MS||MD	
salosal	salosal	s.l.s.l	NOUN	fresh_water	pos:noun gen:- num:- rat:i cas:u	MS||MD	
SaloSAl	SaloSAl	S.l.S.l	NOUN	dry_clay	pos:noun gen:- num:- rat:i cas:u	MS||MD	
SaloSalap	SaloSal	S.l.S.l	NOUN	jingle;rattle;clink	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
SaloSap	SaloS	NTWS	NOUN	sauce;salsa	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
saloTanap	saloTan	s.l.T.n	NOUN	sultanate	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
salowAp	salAw	s.l.w	NOUN	quail	pos:noun gen:f num:p rat:i cas:u	MS	#aY-Ap-y
salowAp	salow	s.l.w	NOUN	quail	pos:noun gen:- num:- rat:i cas:u	FS||FD	
salowap	salow	s.l.w	NOUN	consolation;entertainment	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
salowaY	salow	s.l.w	NOUN	consolation;comfort	pos:noun gen:f num:- rat:i cas:u	MS	#aY-Ap-y
salox	salox	s.l.x	NOUN	skinning	pos:noun gen:- num:- rat:i cas:u	MS||MD	
saloxAnap	saloxAn	s.l.x	NOUN	slaughterhouse	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
SAluwn	SAluwn	NTWS	NOUN	salon;parlor	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
SAluwn	Saluwn	NTWS	NOUN	salon;parlor	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
saluwqiy~	saluwqiy~	s.l.q	ADJ	saluki;greyhound	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
sAm~	sAm~	s.m.m	ADJ	poisonous;toxic	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
sam~	sam~	s.m.m	NOUN	poison	pos:noun gen:- num:- rat:i cas:u	MS||MD	
sam~	simAm	s.m.m	NOUN	poison;toxins	pos:noun gen:m num:p rat:i cas:u	MS	
sam~	sumuwm	s.m.m	NOUN	poison;toxins	pos:noun gen:m num:p rat:i cas:u	MS	
sam~AEap	sam~AE	s.m.E	NOUN	telephone_receiver;earphone	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
sam~Ak	sam~Ak	s.m.k	NOUN	fisherman	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
sam~An	sam~An	s.m.n	NOUN	butter_merchant	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
sam~uwr	sam~uwr	s.m.r	NOUN	sable	pos:noun gen:- num:- rat:i cas:u	MS||MD	
sam~uwr	samAmiyr	s.m.r	NOUN	sable	pos:noun gen:- num:p rat:i cas:u	MS	#dip
raHiym	ruHamA	r.H.m	ADJ	compassionate	pos:adj gen:m num:p rat:n cas:u	MS	#A' #dip
samA'	samAw	s.m.y	NOUN	heavens;Heaven;skies	pos:noun gen:f num:- rat:i cas:u	FP	
samA'	samaw	s.m.y	NOUN	heavens;Heaven;skies	pos:noun gen:f num:- rat:i cas:u	FP	
samAd	>asomid	s.m.d	NOUN	dung;fertilizer	pos:noun gen:m num:p rat:i cas:u	FS	
samAd	samAd	s.m.d	NOUN	dung;fertilizer	pos:noun gen:- num:- rat:i cas:u	MS	
Samad	Samad	S.m.d	NOUN	everlasting_(God)	pos:noun gen:- num:- rat:r cas:u	MS||MD	
SamadAniy~	SamadAniy~	S.m.d	NOUN	everlasting_(God)	pos:noun gen:- num:- rat:r cas:u	MS||MD||FS||FD	
samAE	samAE	s.m.E	NOUN	hearing;listening	pos:noun gen:- num:- rat:i cas:u	MS||MD	
samAEiy~	samAEiy~	s.m.E	ADJ	acoustic;unwritten_law	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
samAH	samAH	s.m.H	NOUN	permission;munificence	pos:noun gen:- num:- rat:i cas:u	MS||MD	
samAHap	samAH	s.m.H	NOUN	munificence;eminence	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
samAjap	samAj	s.m.j	NOUN	ugliness;odiousness	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
samak	samak	s.m.k	NOUN	fish	pos:noun gen:- num:- rat:i cas:u	FS||FD	
samak	samak	s.m.k	NOUN	fish	pos:noun gen:m num:s rat:i cas:u	MS	@collective
samAkap	samAk	s.m.k	NOUN	thickness	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
samakiy~	samakiy~	s.m.k	ADJ	fish-like;fish	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
samal	>asomAl	s.m.l	NOUN	tatters;dregs	pos:noun gen:- num:p rat:i cas:u	MS	
